country,region,year,birthrate,businesstaxrate,co2emissions,daystostartbusiness,easeofbusiness,energyusage,gdp,gdppercapita,healthexpgdp,healthexpcapita,hourstodotax,infantmortalityrate,internetusage,lendinginterest,lifeexpectancy,lifeexpectancyfemale,lifeexpectancymale,mobilephoneusage,numberofrecords,population0-14,population15-64,population65+,populationtotal,populationurban,tourisminbound,tourismoutbound
Iran,Middle East,12/1/2000,0.02,,372703,,,122983,$101B,"$1,532 ",4.60%,$231 ,,0.029,0.01,,70,71,69,2%,1,0.347,0.611,0.042,65.9M,64.00%,$1B,$1B
Iraq,Middle East,12/1/2000,0.04,,72445,,,25937,,,0.80%,$7 ,,0.036,,,71,73,69,,1,0.428,0.537,0.035,23.8M,68.50%,$0B,$0B
Israel,Middle East,12/1/2000,0.02,,62691,,,18234,$125B,"$19,876 ",7.40%,"$1,454 ",,0.006,0.21,0.128,79,81,77,73%,1,0.281,0.619,0.1,6.3M,91.20%,$5B,$4B
Jordan,Middle East,12/1/2000,0.03,,15508,,,4864,$8B,"$1,763 ",9.70%,$171 ,,0.023,0.03,0.118,72,73,70,8%,1,0.394,0.575,0.031,4.8M,79.80%,$1B,$0B
Kuwait,Middle East,12/1/2000,0.02,,55181,,,18805,$38B,"$19,787 ",2.50%,$494 ,,0.011,0.07,0.089,73,74,72,25%,1,0.257,0.712,0.031,1.9M,98.10%,$0B,$3B
Lebanon,Middle East,12/1/2000,0.02,,15354,,,4907,$17B,"$5,335 ",10.90%,$579 ,,0.017,0.08,0.182,75,76,73,23%,1,0.286,0.643,0.071,3.2M,86.00%,$1B,
Oman,Middle East,12/1/2000,0.02,,21896,,,8083,$20B,"$9,062 ",3.10%,$264 ,,0.014,0.04,0.101,72,74,70,7%,1,0.372,0.605,0.023,2.2M,71.60%,$0B,$1B
Qatar,Middle East,12/1/2000,0.02,,34730,,,10876,$18B,"$29,914 ",2.20%,$652 ,,0.011,0.05,,77,78,76,20%,1,0.259,0.724,0.017,0.6M,96.30%,$0B,$0B
Saudi Arabia,Middle East,12/1/2000,0.03,,296935,,,101325,$188B,"$9,333 ",4.20%,$398 ,,0.019,0.02,,73,74,71,7%,1,0.384,0.581,0.035,20.1M,79.80%,,
Syria,Middle East,12/1/2000,0.03,,51048,,,15765,$19B,"$1,180 ",4.90%,$59 ,,0.02,0.00,0.09,74,75,72,0%,1,0.408,0.558,0.034,16.4M,51.90%,$1B,$1B
United Arab Emirates,Middle East,12/1/2000,0.02,,112562,,,33944,$104B,"$34,365 ",2.20%,$752 ,,0.01,0.24,0.097,74,75,73,47%,1,0.254,0.736,0.01,3.0M,80.20%,$1B,$3B
Yemen,Middle East,12/1/2000,0.04,,14639,,,4747,$10B,$550 ,4.10%,$25 ,,0.069,0.00,0.195,61,62,59,0%,1,0.486,0.485,0.029,17.5M,26.30%,$0B,$0B
American Samoa,Oceania,12/1/2000,,,,,,,,,,,,,,,,,,4%,1,,,,0.1M,88.60%,,
Australia,Oceania,12/1/2000,0.01,,329605,,,108110,$415B,"$21,668 ",8.10%,"$1,713 ",,0.005,0.47,0.093,80,82,77,45%,1,0.207,0.669,0.124,19.2M,87.20%,$13B,$9B
Fiji Islands,Oceania,12/1/2000,0.03,,865,,,,$2B,"$2,075 ",3.90%,$80 ,,0.021,0.02,0.084,68,70,65,7%,1,0.351,0.615,0.034,0.8M,47.90%,$0B,$0B
French Polynesia,Oceania,12/1/2000,0.02,,631,,,,$3B,"$14,530 ",,,,,0.06,,73,75,70,17%,1,0.318,0.64,0.043,0.2M,56.10%,,
Guam,Oceania,12/1/2000,0.02,,,,,,,,,,,,0.16,,76,78,73,18%,1,0.305,0.642,0.054,0.2M,93.10%,,
Kiribati,Oceania,12/1/2000,0.03,,33,,,,$0B,$815 ,7.90%,$65 ,,0.054,0.02,,65,68,62,0%,1,0.399,0.567,0.034,0.1M,43.00%,$0B,
Marshall Islands,Oceania,12/1/2000,,,77,,,,$0B,"$2,127 ",22.50%,$466 ,,0.034,0.02,,66,68,63,1%,1,,,,0.1M,68.40%,$0B,$0B
"Micronesia, Fed. Sts.",Oceania,12/1/2000,0.03,,136,,,,$0B,"$2,171 ",7.80%,$170 ,,0.042,0.04,0.153,68,68,67,,1,0.403,0.56,0.037,0.1M,22.30%,$0B,$0B
New Caledonia,Oceania,12/1/2000,0.02,,2299,,,,$3B,"$12,580 ",,,,,0.14,,75,78,72,24%,1,0.287,0.654,0.059,0.2M,61.80%,$0B,
New Zealand,Oceania,12/1/2000,0.02,,32897,,,17056,$52B,"$13,483 ",7.60%,"$1,052 ",,0.006,0.47,0.078,79,81,76,40%,1,0.227,0.655,0.118,3.9M,85.70%,$2B,$1B
Papua New Guinea,Oceania,12/1/2000,0.04,,2688,,,,$4B,$655 ,4.00%,$26 ,,0.058,0.01,0.175,59,61,57,0%,1,0.402,0.573,0.025,5.4M,13.20%,$0B,$0B
Samoa,Oceania,12/1/2000,0.03,,139,,,,$0B,"$1,373 ",6.00%,$80 ,,0.019,0.01,,70,73,66,1%,1,0.407,0.548,0.045,0.2M,22.00%,$0B,
Solomon Islands,Oceania,12/1/2000,0.04,,165,,,,$0B,"$1,055 ",4.60%,$48 ,,0.028,0.01,0.146,63,64,62,0%,1,0.419,0.553,0.028,0.4M,15.80%,$0B,$0B
Tonga,Oceania,12/1/2000,0.03,,121,,,,$0B,"$1,925 ",4.80%,$92 ,,0.015,0.02,0.113,71,73,69,0%,1,0.384,0.559,0.057,0.1M,23.00%,$0B,
Vanuatu,Oceania,12/1/2000,0.03,,81,,,,$0B,"$1,470 ",3.60%,$52 ,,0.02,0.02,0.099,68,69,66,0%,1,0.415,0.552,0.033,0.2M,21.70%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2000,0.02,,345,,,,$1B,"$10,144 ",4.00%,$408 ,,0.014,0.07,0.122,74,76,71,28%,1,0.292,0.637,0.071,0.1M,32.10%,$0B,$0B
Argentina,The Americas,12/1/2000,0.02,,141077,,,60954,$344B,"$9,322 ",9.20%,$710 ,,0.018,0.07,0.111,74,78,70,18%,1,0.279,0.621,0.099,36.9M,89.10%,$3B,$5B
Aruba,The Americas,12/1/2000,0.01,,2233,,,,$2B,"$20,620 ",,,,,0.15,0.121,74,76,71,17%,1,0.232,0.692,0.076,0.1M,46.70%,$1B,$0B
"Bahamas, The",The Americas,12/1/2000,0.02,,1668,,,,$6B,"$21,251 ",5.20%,"$1,107 ",,0.013,0.08,0.06,72,75,69,11%,1,0.293,0.654,0.054,0.3M,82.00%,$2B,$0B
Barbados,The Americas,12/1/2000,0.01,,1188,,,,$3B,"$11,675 ",6.30%,$602 ,,0.015,0.04,0.102,73,75,71,11%,1,0.219,0.666,0.115,0.3M,33.80%,$1B,$0B
Belize,The Americas,12/1/2000,0.03,,689,,,,$1B,"$3,486 ",4.00%,$139 ,,0.021,0.06,0.16,71,74,67,7%,1,0.402,0.555,0.043,0.2M,47.70%,$0B,$0B
Bermuda,The Americas,12/1/2000,0.01,,495,,,,$3B,"$56,284 ",,,,,0.43,,78,81,75,21%,1,,,,0.1M,100.00%,$0B,
Bolivia,The Americas,12/1/2000,0.03,,10224,,,3737,$8B,$989 ,6.10%,$60 ,,0.057,0.01,0.346,63,65,61,7%,1,0.398,0.56,0.042,8.5M,61.80%,$0B,$0B
Brazil,The Americas,12/1/2000,0.02,,327984,,,187442,$645B,"$3,696 ",7.20%,$265 ,,0.029,0.03,0.568,71,74,67,13%,1,0.296,0.649,0.055,174.5M,81.20%,$2B,$5B
Canada,The Americas,12/1/2000,0.01,,534484,,,251450,$739B,"$24,017 ",8.80%,"$2,090 ",,0.005,0.51,0.073,80,82,77,28%,1,0.192,0.683,0.125,30.8M,79.50%,$13B,$15B
Cayman Islands,The Americas,12/1/2000,,,455,,,,,,,,,,,,,,,26%,1,,,,0.0M,100.00%,$1B,
Chile,The Americas,12/1/2000,0.02,,58694,,,25174,$79B,"$5,133 ",7.70%,$390 ,,0.009,0.17,0.148,77,80,74,22%,1,0.278,0.65,0.072,15.5M,86.10%,$1B,$1B
Colombia,The Americas,12/1/2000,0.02,,57924,,,25814,$100B,"$2,504 ",5.90%,$148 ,,0.021,0.02,0.188,71,75,67,6%,1,0.328,0.624,0.047,39.9M,72.10%,$1B,$1B
Costa Rica,The Americas,12/1/2000,0.02,,5475,,,2874,$16B,"$4,058 ",7.10%,$287 ,,0.011,0.06,0.249,78,80,75,5%,1,0.315,0.631,0.055,3.9M,59.00%,$1B,$1B
Cuba,The Americas,12/1/2000,0.01,,26039,,,12859,$31B,"$2,744 ",6.10%,$166 ,,0.007,0.01,,77,79,75,0%,1,0.216,0.685,0.099,11.1M,75.30%,$2B,
Curacao,The Americas,12/1/2000,,,,,,,,,,,,,,,,,,,1,0.249,0.648,0.103,0.1M,90.80%,$0B,
Dominica,The Americas,12/1/2000,,,103,,,,$0B,"$4,657 ",5.00%,$231 ,,0.014,0.09,0.117,,,,2%,1,,,,0.1M,65.30%,$0B,$0B
Dominican Republic,The Americas,12/1/2000,0.03,,20117,,,7499,$24B,"$2,770 ",6.30%,$173 ,,0.033,0.04,0.268,71,74,68,8%,1,0.349,0.599,0.051,8.7M,61.70%,$3B,$0B
Ecuador,The Americas,12/1/2000,0.03,,20942,,,7815,$18B,"$1,462 ",3.60%,$53 ,,0.028,0.02,0.171,74,76,71,4%,1,0.345,0.604,0.051,12.5M,60.30%,$0B,$0B
El Salvador,The Americas,12/1/2000,0.03,,5743,,,3968,$13B,"$2,204 ",8.10%,$179 ,,0.027,0.01,0.14,70,74,65,13%,1,0.383,0.562,0.055,6.0M,58.90%,$0B,$0B
Greenland,The Americas,12/1/2000,0.02,,532,,,,$1B,"$19,004 ",,,,,0.32,,67,70,64,27%,1,,,,0.1M,81.60%,,
Grenada,The Americas,12/1/2000,0.02,,191,,,,$1B,"$5,149 ",6.60%,$339 ,,0.014,0.04,0.116,71,73,68,4%,1,0.35,0.572,0.078,0.1M,35.90%,$0B,$0B
Guatemala,The Americas,12/1/2000,0.04,,9916,,,7041,$19B,"$1,722 ",5.60%,$96 ,,0.04,0.01,0.209,68,71,64,8%,1,0.441,0.519,0.04,11.2M,45.10%,$0B,$0B
Guyana,The Americas,12/1/2000,0.02,,1610,,,,$1B,$957 ,5.80%,$56 ,,0.039,0.07,0.173,64,67,60,5%,1,0.354,0.602,0.045,0.7M,28.70%,$0B,$0B
Haiti,The Americas,12/1/2000,0.03,,1368,,,2010,$4B,$427 ,6.10%,$26 ,,0.075,0.00,0.314,58,59,56,1%,1,0.403,0.557,0.04,8.6M,35.60%,$0B,$0B
Honduras,The Americas,12/1/2000,0.03,,5031,,,2990,$7B,"$1,140 ",6.60%,$76 ,,0.031,0.01,0.268,71,73,68,3%,1,0.424,0.537,0.039,6.2M,45.50%,$0B,$0B
Jamaica,The Americas,12/1/2000,0.02,,10319,,,3829,$9B,"$3,479 ",5.50%,$189 ,,0.02,0.03,0.233,71,73,68,14%,1,0.327,0.599,0.075,2.6M,51.80%,$2B,$0B
Mexico,The Americas,12/1/2000,0.02,,381518,,,145384,$684B,"$6,585 ",5.10%,$328 ,,0.022,0.05,0.169,75,77,72,14%,1,0.341,0.61,0.049,103.9M,74.70%,$9B,$6B
Nicaragua,The Americas,12/1/2000,0.03,,3762,,,2522,$5B,"$1,001 ",5.40%,$54 ,,0.033,0.01,0.181,70,72,67,2%,1,0.409,0.554,0.037,5.1M,54.70%,$0B,$0B
Panama,The Americas,12/1/2000,0.02,,5790,,,2569,$12B,"$3,804 ",7.80%,$295 ,,0.022,0.07,0.105,76,78,73,13%,1,0.321,0.623,0.055,3.1M,62.20%,$1B,$0B
Paraguay,The Americas,12/1/2000,0.03,,3689,,,3850,$8B,"$1,532 ",8.10%,$124 ,,0.028,0.01,0.268,70,72,68,15%,1,0.382,0.574,0.044,5.4M,55.30%,$0B,$0B
Peru,The Americas,12/1/2000,0.02,,30297,,,12222,$51B,"$1,949 ",4.70%,$96 ,,0.03,0.03,0.3,71,73,68,5%,1,0.341,0.611,0.048,26.0M,73.00%,$1B,$1B
Puerto Rico,The Americas,12/1/2000,0.02,,,,,,$62B,"$16,192 ",,,,,0.11,,77,81,73,35%,1,0.236,0.651,0.113,3.8M,94.40%,$2B,$1B
Sint Maarten (Dutch part),The Americas,12/1/2000,,,,,,,,,,,,,,,,,,,1,,,,0.0M,100.00%,$1B,$0B
St. Kitts and Nevis,The Americas,12/1/2000,,,103,,,,$0B,"$9,146 ",4.30%,$392 ,,0.014,0.06,0.111,,,,3%,1,,,,0.0M,32.80%,$0B,$0B
St. Lucia,The Americas,12/1/2000,0.02,,330,,,,$1B,"$4,871 ",5.60%,$272 ,,0.015,0.05,0.131,72,73,70,2%,1,0.322,0.602,0.076,0.2M,27.80%,$0B,$0B
St. Martin (French part),The Americas,12/1/2000,0.02,,,,,,,,,,,,,,77,80,74,,1,,,,0.0M,,,
St. Vincent and the Grenadines,The Americas,12/1/2000,0.02,,158,,,,$0B,"$3,684 ",3.70%,$137 ,,0.019,0.03,0.115,71,73,68,2%,1,0.314,0.616,0.069,0.1M,45.20%,$0B,$0B
Suriname,The Americas,12/1/2000,0.02,,2127,,,,$1B,"$1,912 ",8.70%,$167 ,,0.03,0.03,0.29,68,71,65,9%,1,0.306,0.637,0.057,0.5M,66.40%,$0B,$0B
Trinidad and Tobago,The Americas,12/1/2000,0.02,,24514,,,10854,$8B,"$6,431 ",4.00%,$260 ,,0.025,0.08,0.165,69,72,65,13%,1,0.256,0.679,0.065,1.3M,10.80%,$0B,$0B
Turks and Caicos Islands,The Americas,12/1/2000,,,15,,,,,,,,,,,,,,,,1,,,,0.0M,84.60%,$0B,
United States,The Americas,12/1/2000,0.01,,5713560,,,2273332,"$10,300B","$36,504 ",13.60%,"$4,790 ",,0.007,0.43,0.092,77,79,74,39%,1,0.213,0.663,0.124,282.2M,79.10%,$121B,$91B
Uruguay,The Americas,12/1/2000,0.02,,5306,,,3092,$23B,"$6,873 ",11.20%,$773 ,,0.015,0.11,0.461,75,78,71,12%,1,0.246,0.624,0.131,3.3M,92.00%,$1B,$0B
Venezuela,The Americas,12/1/2000,0.02,,152415,,,56424,$117B,"$4,794 ",5.70%,$273 ,,0.018,0.03,0.252,73,75,70,22%,1,0.337,0.617,0.046,24.4M,88.00%,$0B,$2B
Algeria,Africa,12/1/2001,0.02,,84293,,,27072,$55B,"$1,703 ",3.80%,$65 ,,0.033,0.01,0.095,70,71,68,0%,1,0.33,0.63,0.04,32.2M,60.70%,$0B,$0B
Angola,Africa,12/1/2001,0.05,,9732,,,7883,$9B,$621 ,5.80%,$36 ,,0.127,0.00,0.96,46,47,45,1%,1,0.477,0.499,0.025,14.4M,33.20%,$0B,$0B
Benin,Africa,12/1/2001,0.04,,1738,,,2109,$2B,$348 ,4.70%,$16 ,,0.088,0.00,,56,57,54,2%,1,0.453,0.518,0.029,7.2M,38.70%,$0B,$0B
Botswana,Africa,12/1/2001,0.03,,4334,,,1868,$5B,"$3,078 ",5.20%,$175 ,,0.054,0.03,0.158,50,51,48,19%,1,0.377,0.593,0.03,1.8M,54.10%,$0B,$0B
Burkina Faso,Africa,12/1/2001,0.05,,997,,,,$3B,$235 ,4.90%,$12 ,,0.095,0.00,,51,52,50,1%,1,0.467,0.506,0.027,11.9M,18.50%,$0B,$0B
Burundi,Africa,12/1/2001,0.04,,216,,,,$1B,$128 ,6.80%,$7 ,,0.089,0.00,0.168,49,50,47,1%,1,0.484,0.487,0.029,6.8M,8.50%,$0B,$0B
Cameroon,Africa,12/1/2001,0.04,,3421,,,6384,$10B,$589 ,4.70%,$27 ,,0.09,0.00,0.207,52,53,51,3%,1,0.451,0.515,0.034,16.4M,46.10%,$0B,$0B
Central African Republic,Africa,12/1/2001,0.04,,246,,,,$1B,$252 ,4.00%,$10 ,,0.113,0.00,0.207,44,45,42,0%,1,0.422,0.538,0.04,3.7M,37.70%,$0B,$0B
Chad,Africa,12/1/2001,0.05,,172,,,,$2B,$198 ,6.00%,$12 ,,0.105,0.00,0.207,47,48,46,0%,1,0.491,0.481,0.028,8.6M,21.70%,$0B,$0B
Comoros,Africa,12/1/2001,0.04,,88,,,,$0B,$406 ,2.80%,$11 ,,0.073,0.00,0.12,59,60,57,,1,0.414,0.555,0.031,0.5M,28.00%,$0B,
Congo (Kinshasa),Africa,12/1/2001,0.05,,1566,,,17242,$7B,$154 ,4.30%,$6 ,,0.114,0.00,,47,48,45,0%,1,0.464,0.507,0.028,48.2M,35.60%,,
Congo (Brazzaville),Africa,12/1/2001,0.04,,862,,,884,$3B,$872 ,2.40%,$21 ,,0.075,0.00,0.207,53,54,51,5%,1,0.419,0.545,0.036,3.2M,59.20%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2001,0.04,,7726,,,6483,$11B,$642 ,5.20%,$34 ,,0.098,0.00,,47,47,46,4%,1,0.421,0.55,0.029,16.4M,44.20%,$0B,$0B
Djibouti,Africa,12/1/2001,0.03,,385,,,,$1B,$780 ,5.40%,$41 ,,0.078,0.00,0.115,58,59,56,0%,1,0.407,0.562,0.031,0.7M,76.60%,$0B,$0B
Egypt,Africa,12/1/2001,0.03,,125452,,,45698,$98B,"$1,453 ",5.80%,$76 ,,0.034,0.01,0.133,69,71,66,4%,1,0.348,0.598,0.054,67.2M,42.80%,$4B,$1B
Equatorial Guinea,Africa,12/1/2001,0.04,,3095,,,,$1B,"$2,733 ",1.50%,$50 ,,0.096,0.00,0.207,48,49,47,3%,1,0.423,0.541,0.036,0.5M,38.80%,$0B,$0B
Eritrea,Africa,12/1/2001,0.04,,631,,,742,$1B,$183 ,3.90%,$7 ,,0.056,0.00,,57,59,54,,1,0.462,0.519,0.019,4.1M,17.80%,$0B,
Ethiopia,Africa,12/1/2001,0.04,,4309,,,26171,$8B,$119 ,4.70%,$6 ,,0.087,0.00,0.109,53,54,52,0%,1,0.466,0.504,0.031,68.0M,14.90%,$0B,$0B
Gabon,Africa,12/1/2001,0.03,,1782,,,1579,$5B,"$3,754 ",3.30%,$125 ,,0.055,0.01,0.207,60,61,58,12%,1,0.404,0.538,0.058,1.3M,80.90%,$0B,$0B
"Gambia, The",Africa,12/1/2001,0.05,,282,,,,$1B,$543 ,4.60%,$25 ,,0.062,0.01,0.24,56,57,54,4%,1,0.459,0.515,0.027,1.3M,48.80%,,
Ghana,Africa,12/1/2001,0.03,,6920,,,8045,$5B,$275 ,5.60%,$15 ,,0.063,0.00,,57,58,56,1%,1,0.412,0.557,0.031,19.3M,44.60%,$0B,$0B
Guinea,Africa,12/1/2001,0.04,,1298,,,,$3B,$319 ,5.90%,$19 ,,0.099,0.00,,51,51,51,1%,1,0.44,0.526,0.034,8.9M,31.40%,$0B,$0B
Guinea-Bissau,Africa,12/1/2001,0.04,,150,,,,$0B,$295 ,5.00%,$15 ,,0.106,0.00,,52,53,51,,1,0.434,0.535,0.031,1.3M,37.50%,$0B,$0B
Kenya,Africa,12/1/2001,0.04,,9369,,,14259,$13B,$404 ,4.60%,$19 ,,0.068,0.01,0.197,53,54,52,2%,1,0.438,0.534,0.028,32.1M,20.20%,$1B,$0B
Lesotho,Africa,12/1/2001,0.03,,,,,,$1B,$377 ,7.50%,$28 ,,0.082,0.00,0.166,46,46,45,3%,1,0.41,0.545,0.046,1.9M,20.10%,$0B,$0B
Liberia,Africa,12/1/2001,0.04,,502,,,,$1B,$172 ,6.40%,$11 ,,0.112,0.00,0.221,53,53,52,0%,1,0.432,0.537,0.031,3.0M,44.70%,,
Libya,Africa,12/1/2001,0.02,,48100,,,16361,$28B,"$5,404 ",4.10%,$261 ,,0.024,0.00,0.07,73,74,71,1%,1,0.326,0.634,0.04,5.3M,76.40%,$0B,$1B
Madagascar,Africa,12/1/2001,0.04,,1742,,,,$5B,$279 ,5.00%,$14 ,,0.067,0.00,0.253,59,60,58,1%,1,0.455,0.516,0.03,16.2M,27.40%,$0B,$0B
Malawi,Africa,12/1/2001,0.05,,906,,,,$2B,$148 ,5.10%,$8 ,,0.097,0.00,0.562,46,46,46,1%,1,0.46,0.51,0.03,11.6M,14.70%,$0B,$0B
Mali,Africa,12/1/2001,0.05,,546,,,,$3B,$249 ,6.40%,$18 ,,0.113,0.00,,50,49,50,0%,1,0.461,0.505,0.034,10.6M,29.10%,$0B,$0B
Mauritania,Africa,12/1/2001,0.04,,1349,,,,$1B,$464 ,4.80%,$19 ,,0.076,0.00,0.225,60,61,58,4%,1,0.426,0.543,0.032,2.8M,50.00%,,
Mauritius,Africa,12/1/2001,0.02,,2967,,,,$5B,"$3,781 ",3.80%,$147 ,,0.015,0.09,0.211,72,75,68,23%,1,0.255,0.683,0.063,1.2M,42.50%,$1B,$0B
Morocco,Africa,12/1/2001,0.02,,37715,,,10894,$38B,"$1,300 ",4.40%,$58 ,,0.041,0.01,0.133,69,70,67,16%,1,0.333,0.619,0.048,29.0M,53.70%,$3B,$1B
Mozambique,Africa,12/1/2001,0.05,,1580,,,7547,$4B,$217 ,5.60%,$12 ,,0.109,0.00,0.227,48,49,46,1%,1,0.44,0.529,0.032,18.8M,29.30%,$0B,$0B
Namibia,Africa,12/1/2001,0.03,,2017,,,1127,$4B,"$1,836 ",6.20%,$113 ,,0.049,0.02,0.145,54,56,52,6%,1,0.403,0.564,0.033,1.9M,32.90%,$0B,$0B
Niger,Africa,12/1/2001,0.05,,759,,,,$2B,$171 ,7.40%,$12 ,,0.098,0.00,,51,51,51,0%,1,0.481,0.494,0.025,11.4M,16.30%,$0B,$0B
Nigeria,Africa,12/1/2001,0.04,,83351,,,94633,$44B,$350 ,4.80%,$18 ,,0.11,0.00,0.234,47,47,46,0%,1,0.435,0.538,0.028,126.0M,35.70%,$0B,$1B
Rwanda,Africa,12/1/2001,0.04,,689,,,,$2B,$191 ,4.40%,$8 ,,0.101,0.00,0.173,49,50,48,1%,1,0.464,0.507,0.029,8.8M,15.80%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2001,0.04,,51,,,,$0B,$540 ,10.30%,$52 ,,0.056,0.06,0.37,64,65,62,,1,0.434,0.526,0.04,0.1M,54.40%,$0B,$0B
Senegal,Africa,12/1/2001,0.04,,4331,,,2592,$5B,$482 ,5.00%,$24 ,,0.067,0.01,,59,60,57,3%,1,0.449,0.519,0.032,10.1M,40.50%,$0B,$0B
Seychelles,Africa,12/1/2001,0.02,,642,,,,$1B,"$7,616 ",4.70%,$356 ,,0.012,0.11,0.106,,,,45%,1,0.275,0.645,0.08,0.1M,50.30%,$0B,$0B
Sierra Leone,Africa,12/1/2001,0.04,,568,,,,$1B,$251 ,16.00%,$40 ,,0.139,0.00,0.243,39,40,38,1%,1,0.429,0.547,0.024,4.3M,35.90%,$0B,$0B
Somalia,Africa,12/1/2001,0.05,,502,,,,,,,,,0.105,0.00,,52,53,50,1%,1,0.473,0.497,0.029,7.6M,33.60%,,
South Africa,Africa,12/1/2001,0.02,,362743,,,112399,$118B,"$2,627 ",8.60%,$223 ,,0.053,0.06,0.138,55,57,53,24%,1,0.325,0.64,0.036,44.9M,57.40%,$3B,$2B
South Sudan,Africa,12/1/2001,0.04,,,,,,,,,,,0.105,,,50,51,48,,1,0.446,0.523,0.031,6.9M,16.60%,,
Sudan,Africa,12/1/2001,0.04,,6370,,,13988,$13B,$464 ,3.50%,$16 ,,0.067,0.00,,59,60,57,0%,1,0.436,0.534,0.03,28.4M,32.50%,$0B,$0B
Eswatini,Africa,12/1/2001,0.03,,1144,,,,$1B,"$1,255 ",5.20%,$65 ,,0.081,0.01,0.133,48,48,47,5%,1,0.44,0.53,0.03,1.1M,22.60%,$0B,$0B
Tanzania,Africa,12/1/2001,0.04,,3128,,,14203,$10B,$298 ,3.50%,$11 ,,0.076,0.00,0.201,51,51,50,1%,1,0.447,0.524,0.029,34.9M,22.70%,$1B,$0B
Togo,Africa,12/1/2001,0.04,,1162,,,2106,$1B,$267 ,5.20%,$14 ,,0.075,0.01,,54,54,53,2%,1,0.439,0.532,0.028,5.0M,33.40%,$0B,$0B
Tunisia,Africa,12/1/2001,0.02,,20818,,,7711,$22B,"$2,281 ",5.30%,$122 ,,0.024,0.04,,73,75,71,4%,1,0.289,0.649,0.062,9.7M,63.80%,$2B,$0B
Uganda,Africa,12/1/2001,0.05,,1621,,,,$6B,$233 ,7.20%,$17 ,,0.085,0.00,0.227,49,49,49,1%,1,0.493,0.48,0.027,25.1M,12.20%,$0B,
Zambia,Africa,12/1/2001,0.05,,1907,,,6430,$4B,$353 ,6.00%,$21 ,,0.095,0.00,0.462,43,43,42,1%,1,0.459,0.514,0.027,10.4M,35.00%,$0B,$0B
Zimbabwe,Africa,12/1/2001,0.03,,12563,,,9690,$7B,$538 ,,,,0.06,0.01,0.38,43,43,43,3%,1,0.419,0.547,0.034,12.6M,34.20%,$0B,
Afghanistan,Asia,12/1/2001,0.05,,645,,,,$2B,$115 ,,,,0.093,0.00,,55,56,54,,1,0.495,0.484,0.02,21.3M,21.60%,,
Armenia,Asia,12/1/2001,0.01,,3542,,,2006,$2B,$692 ,5.90%,$41 ,,0.025,0.02,0.267,72,75,68,1%,1,0.25,0.646,0.104,3.1M,64.40%,$0B,$0B
Azerbaijan,Asia,12/1/2001,0.01,,28771,,,11445,$6B,$704 ,4.50%,$31 ,,0.057,0.00,0.197,67,70,64,9%,1,0.301,0.641,0.058,8.1M,51.60%,$0B,$0B
Bangladesh,Asia,12/1/2001,0.03,,32457,,,20223,$47B,$349 ,3.00%,$10 ,,0.062,0.00,0.158,66,66,66,0%,1,0.364,0.595,0.041,134.7M,24.10%,$0B,$0B
Bhutan,Asia,12/1/2001,0.03,,389,,,,$0B,$820 ,6.20%,$51 ,,0.056,0.01,0.158,61,61,61,,1,0.393,0.568,0.039,0.6M,26.50%,$0B,
Brunei,Asia,12/1/2001,0.02,,6197,,,2208,$6B,"$16,517 ",3.20%,$525 ,,0.008,0.13,0.055,76,78,74,42%,1,0.301,0.671,0.028,0.3M,71.70%,$0B,$0B
Cambodia,Asia,12/1/2001,0.03,,2252,,,3430,$4B,$319 ,6.20%,$20 ,,0.076,0.00,,63,66,60,2%,1,0.397,0.564,0.039,12.5M,18.70%,$0B,$0B
China,Asia,12/1/2001,0.01,,3487566,,,1186797,"$1,320B","$1,038 ",4.60%,$47 ,,0.028,0.03,0.059,73,74,71,11%,1,0.246,0.683,0.07,"1,271.9M",37.10%,$19B,$15B
Georgia,Asia,12/1/2001,0.01,,3770,,,2570,$3B,$734 ,7.80%,$54 ,,0.029,0.01,0.223,72,76,68,6%,1,0.212,0.659,0.129,4.4M,52.40%,$0B,$0B
Hong Kong SAR,Asia,12/1/2001,0.01,,37972,,,14145,$169B,"$25,170 ",,,,,0.39,0.051,82,85,78,84%,1,0.167,0.72,0.112,6.7M,100.00%,$8B,$12B
India,Asia,12/1/2001,0.03,,1203843,,,464501,$494B,$466 ,4.50%,$21 ,,0.064,0.01,0.121,63,64,61,1%,1,0.338,0.617,0.044,"1,059.5M",27.90%,$3B,$4B
Indonesia,Asia,12/1/2001,0.02,,294907,,,158963,$160B,$755 ,2.20%,$17 ,,0.039,0.02,0.185,68,70,66,3%,1,0.304,0.649,0.047,212.0M,42.80%,$5B,$3B
Japan,Asia,12/1/2001,0.01,,1202266,,,510791,"$4,160B","$32,718 ",7.80%,"$2,554 ",,0.003,0.39,0.02,82,85,78,59%,1,0.144,0.679,0.177,127.1M,80.00%,$6B,$36B
Kazakhstan,Asia,12/1/2001,0.02,,147908,,,34493,$22B,"$1,491 ",3.50%,$53 ,,0.036,0.01,,66,71,61,4%,1,0.271,0.661,0.069,14.9M,55.50%,$1B,$1B
North Korea,Asia,12/1/2001,0.02,,79475,,,20369,,,,,,0.039,,,66,70,62,,1,0.258,0.68,0.062,23.0M,59.50%,,
